dataset,method,family,view,quantity,ablation,halflife,halflife_int,status,ci_lo,ci_hi,horizon_E,base_value,base_ci_lo,floor,halflife_expfit,r2
imagenet_r,m2_target,F1,full,acc,n/a,6.0,,censored,,,6,0.5798535412435614,0.5461899810257027,per-task a0(t)=1/classes_seen,,
imagenet_r,m2_target,F1,full,leak_auc,last_round,6.0,,censored,,,6,0.7142164435635899,0.7038418230491565,0.5,,
imagenet_r,m2_target,F1,full,leak_auc,trajectory,6.0,,censored,,,6,0.7142164435635899,0.7038418230491565,0.5,,
imagenet_r,m2_target,F1,full,leak_tpr1,last_round,6.0,,censored,,,6,0.09454657558696111,0.08397693820715596,0.01,,
imagenet_r,m2_target,F1,full,leak_tpr1,trajectory,6.0,,censored,,,6,0.09454657558696111,0.08397693820715596,0.01,,
imagenet_r,m3_fot,F1,full,acc,n/a,6.0,,censored,,,6,0.659467029656559,0.6393267107619027,per-task a0(t)=1/classes_seen,,
imagenet_r,m3_fot,F1,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.6908409057210475,0.6808008767515067,0.5,,
imagenet_r,m3_fot,F1,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.6908409057210475,0.6808008767515067,0.5,,
imagenet_r,m3_fot,F1,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.07861465929297379,0.06672683193368698,0.01,,
imagenet_r,m3_fot,F1,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.07861465929297379,0.06672683193368698,0.01,,
imagenet_r,m4_proto,F2,aggregate,acc,n/a,6.0,,censored,,,6,0.6201846431208622,0.5946773147184794,per-task a0(t)=1/classes_seen,,
imagenet_r,m4_proto,F2,aggregate,leak_auc,last_round,6.0,,censored,,,6,0.8422918231966118,0.8275347435183144,0.5,,
imagenet_r,m4_proto,F2,aggregate,leak_auc,trajectory,6.0,,censored,,,6,0.8422918231966118,0.8275347435183144,0.5,,
imagenet_r,m4_proto,F2,aggregate,leak_tpr1,last_round,6.0,,censored,,,6,0.23953708540088797,0.21552160386798608,0.01,,
imagenet_r,m4_proto,F2,aggregate,leak_tpr1,trajectory,6.0,,censored,,,6,0.23953708540088797,0.21552160386798608,0.01,,
imagenet_r,m4_proto,F2,full,acc,n/a,6.0,,censored,,,6,0.6201846431208622,0.5946773147184794,per-task a0(t)=1/classes_seen,,
imagenet_r,m4_proto,F2,full,leak_auc,last_round,6.0,,censored,,,6,0.9770387884296409,0.9725322268076979,0.5,,
imagenet_r,m4_proto,F2,full,leak_auc,trajectory,6.0,,censored,,,6,0.9770387884296409,0.9725322268076979,0.5,,
imagenet_r,m4_proto,F2,full,leak_tpr1,last_round,6.0,,censored,,,6,0.7324282862939808,0.7017801955866926,0.01,,
imagenet_r,m4_proto,F2,full,leak_tpr1,trajectory,6.0,,censored,,,6,0.7324282862939808,0.7017801955866926,0.01,,
imagenet_r,m4_proto,F2,global,acc,n/a,6.0,,censored,,,6,0.6201846431208622,0.5946773147184794,per-task a0(t)=1/classes_seen,,
imagenet_r,m4_proto,F2,global,leak_auc,last_round,6.0,,censored,,,6,0.8422918231966118,0.8275347435183144,0.5,,
imagenet_r,m4_proto,F2,global,leak_auc,trajectory,6.0,,censored,,,6,0.8422918231966118,0.8275347435183144,0.5,,
imagenet_r,m4_proto,F2,global,leak_tpr1,last_round,6.0,,censored,,,6,0.23953708540088797,0.21552160386798608,0.01,,
imagenet_r,m4_proto,F2,global,leak_tpr1,trajectory,6.0,,censored,,,6,0.23953708540088797,0.21552160386798608,0.01,,
imagenet_r,m5_hybrid_replay,F1,full,acc,n/a,6.0,,censored,,,6,0.6266782589116413,0.6028926782314528,per-task a0(t)=1/classes_seen,,
imagenet_r,m5_hybrid_replay,F1,full,leak_auc,last_round,6.0,,censored,,,6,0.6962446346553818,0.6834011520018213,0.5,,
imagenet_r,m5_hybrid_replay,F1,full,leak_auc,trajectory,6.0,,censored,,,6,0.6962446346553818,0.6834011520018213,0.5,,
imagenet_r,m5_hybrid_replay,F1,full,leak_tpr1,last_round,6.0,,censored,,,6,0.08649493600807634,0.07463017908377939,0.01,,
imagenet_r,m5_hybrid_replay,F1,full,leak_tpr1,trajectory,6.0,,censored,,,6,0.08649493600807634,0.07463017908377939,0.01,,
imagenet_r,m8_analytic,F5,aggregate,acc,n/a,6.0,,censored,,,6,0.7456224308758936,0.7295418221570301,per-task a0(t)=1/classes_seen,,
imagenet_r,m8_analytic,F5,aggregate,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.9999914067017781,0.9999647305819943,0.5,,
imagenet_r,m8_analytic,F5,aggregate,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.9999914067017781,0.9999647305819943,0.5,,
imagenet_r,m8_analytic,F5,aggregate,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,1.0,0.9997873074745087,0.01,,
imagenet_r,m8_analytic,F5,aggregate,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,1.0,0.9997873074745087,0.01,,
imagenet_r,m8_analytic,F5,full,acc,n/a,6.0,,censored,,,6,0.7456224308758936,0.7295418221570301,per-task a0(t)=1/classes_seen,,
imagenet_r,m8_analytic,F5,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,1.0,1.0,0.5,,
imagenet_r,m8_analytic,F5,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,1.0,1.0,0.5,,
imagenet_r,m8_analytic,F5,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,1.0,1.0,0.01,,
imagenet_r,m8_analytic,F5,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,1.0,1.0,0.01,,
imagenet_r,m8_analytic,F5,global,acc,n/a,6.0,,censored,,,6,0.7456224308758936,0.7295418221570301,per-task a0(t)=1/classes_seen,,
imagenet_r,m8_analytic,F5,global,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.9998456617013021,0.9997452907420028,0.5,,
imagenet_r,m8_analytic,F5,global,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.9998456617013021,0.9997452907420028,0.5,,
imagenet_r,m8_analytic,F5,global,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.9956270117371655,0.9910177548835916,0.01,,
imagenet_r,m8_analytic,F5,global,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.9956270117371655,0.9910177548835916,0.01,,
