dataset,unit,eps,gamma,delta,fpr,tpr_empirical,tpr_dp_bound,n_shadows,n_pos,n_neg
cifar100,U1,1.0,1.0,1e-05,0.020490746898158482,0.01960058451047248,0.05570962494481775,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.021461411978584036,0.02022406234778373,0.05834816619445827,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.02247805833548725,0.02115927910375061,0.06111169751239737,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.02354286414322418,0.02207501217730151,0.06400613979040631,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.024658110758226038,0.023711641500243547,0.06703769439821632,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.025826187606826773,0.024861178762786165,0.07021285647001141,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.027049597304631343,0.025815879201169022,0.07353842882031414,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.02833096101839324,0.027121285923039456,0.0770215365190799,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.029673024081888696,0.028524111056989772,0.08066964215722568,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.03107866187782014,0.0300828056502679,0.08449056183530135,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0325508859983506,0.031310277642474425,0.08849248190955838,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.03409285069746811,0.03296639064783244,0.09268397653129484,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.03570785964900463,0.03470043838285436,0.09707402601705525,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.03739937302478798,0.036278616658548465,0.10167203608904254,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.039171014908092605,0.037778860204578664,0.10648785802696648,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.04102658105827194,0.039512907939600585,0.11153180977450268,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.04297004704320839,0.04173404773502192,0.11681469804558368,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.04500557675700498,0.04385776911836337,0.12234784147788538,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.047137531341167244,0.0457476863127131,0.12814309488311365,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.049370478528390035,0.047754505601558694,0.1342128746460501,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.05170920242896761,0.049488553336580615,0.14057018532677298,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.054158713780794704,0.051709693132001945,0.14722864752304873,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.05672426068491978,0.05472966390647833,0.15420252705259127,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.05941133984965034,0.05695080370189966,0.16150676551770926,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.06222570836730231,0.059873356064296154,0.16915701231782984,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.06517339604882427,0.06265952264978081,0.17716965817848357,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.06826071834272386,0.06581587920116902,0.1855618702685873,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.07149428986597577,0.06887481734047735,0.1943516289812656,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.07488103857590023,0.07187530443253774,0.20355776645701038,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.07842822061337681,0.07518753044325377,0.2132000069317193,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0821434358491943,0.07892839746712128,0.22329900899605618,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.086034644166845,0.0824159766195811,0.23387640985667477,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.09011018251665019,0.0862542620555285,0.24495487169413818,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.09437878277775381,0.09069654164637117,0.2565581302168517,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.09884959046625587,0.09480759863614223,0.2687110455150418,1024,51325,51175
