dataset,method,unit,eps,gamma,n_clients,seed,p,lambda,clip_C,final_avg_acc,bwt,avg_incremental_acc
cifar100,m9_contractive,U2,0.5,0.7,10,0,32,0.01,49.908871342539484,0.0126,-0.02033333333333333,0.03175722222222223
cifar100,m9_contractive,U2,0.5,0.7,10,1,32,0.01,49.908871342539484,0.007700000000000001,-0.027444444444444445,0.02802083333333334
cifar100,m9_contractive,U2,0.5,0.7,10,2,32,0.01,49.908871342539484,0.013600000000000001,-0.032,0.04666496031746032
cifar100,m9_contractive,U2,1,1.0,10,0,32,0.01,49.908871342539484,0.0093,-0.020555555555555556,0.033091190476190475
cifar100,m9_contractive,U2,1,1.0,10,1,32,0.01,49.908871342539484,0.0111,-0.018222222222222223,0.031910912698412695
cifar100,m9_contractive,U2,1,1.0,10,2,32,0.01,49.908871342539484,0.023799999999999998,-0.031111111111111107,0.048370753968253966
cifar100,m9_contractive,U2,1,0.9,10,0,32,0.01,49.908871342539484,0.009200000000000002,-0.024666666666666663,0.033253095238095234
cifar100,m9_contractive,U2,1,0.9,10,1,32,0.01,49.908871342539484,0.0068000000000000005,-0.024333333333333332,0.030473571428571433
cifar100,m9_contractive,U2,1,0.9,10,2,32,0.01,49.908871342539484,0.0256,-0.030999999999999996,0.04828710317460318
cifar100,m9_contractive,U2,1,0.7,10,0,32,0.01,49.908871342539484,0.0129,-0.02388888888888889,0.031932023809523806
cifar100,m9_contractive,U2,1,0.7,10,1,32,0.01,49.908871342539484,0.007400000000000001,-0.028333333333333335,0.028775634920634924
cifar100,m9_contractive,U2,1,0.7,10,2,32,0.01,49.908871342539484,0.0149,-0.03633333333333334,0.050002896825396825
cifar100,m9_contractive,U2,2,1.0,10,0,32,10.0,49.908871342539484,0.009300000000000001,-0.020444444444444446,0.033799523809523814
cifar100,m9_contractive,U2,2,1.0,10,1,32,10.0,49.908871342539484,0.012,-0.025222222222222222,0.0356425
cifar100,m9_contractive,U2,2,1.0,10,2,32,10.0,49.908871342539484,0.022099999999999998,-0.030888888888888893,0.0516847619047619
cifar100,m9_contractive,U2,2,0.9,10,0,32,10.0,49.908871342539484,0.009999999999999998,-0.024888888888888887,0.034079285714285715
