dataset,backbone,n_per_class,ref_quality,class,trial,anisotropy_ratio,mean_cos,median_cos,frac_above_0.8,n_records,ref_pool_size
cifar100,vit_base_patch16_224.augreg_in21k,128,clean_full,46,3,86.3956279333485,0.4040074225531792,0.42442030090635413,0.0,128,100
cifar100,vit_base_patch16_224.augreg_in21k,128,clean_full,37,4,86.3956279333485,0.4283787798274102,0.44908688521901496,0.0,128,100
cifar100,vit_base_patch16_224.augreg_in21k,128,clean_small_pool,77,0,86.3956279333485,0.4473888940999504,0.4652297956455175,0.0,128,20
cifar100,vit_base_patch16_224.augreg_in21k,128,clean_small_pool,12,1,86.3956279333485,0.3806191688712889,0.4070389204720176,0.0,128,20
cifar100,vit_base_patch16_224.augreg_in21k,128,clean_small_pool,4,2,86.3956279333485,0.4291173969661486,0.44708439290395874,0.0,128,20
cifar100,vit_base_patch16_224.augreg_in21k,128,clean_small_pool,45,3,86.3956279333485,0.32573861950802596,0.32562125422021304,0.0,128,20
cifar100,vit_base_patch16_224.augreg_in21k,128,clean_small_pool,94,4,86.3956279333485,0.4644617559419615,0.4631644983344759,0.0,128,20
cifar100,vit_base_patch16_224.augreg_in21k,128,noisy_full,96,0,86.3956279333485,0.4510769720384121,0.4571822552847255,0.0,128,100
cifar100,vit_base_patch16_224.augreg_in21k,128,noisy_full,57,1,86.3956279333485,0.44428440803009284,0.4343189421862411,0.015625,128,100
cifar100,vit_base_patch16_224.augreg_in21k,128,noisy_full,18,2,86.3956279333485,0.4173815436119104,0.466642078968737,0.0,128,100
cifar100,vit_base_patch16_224.augreg_in21k,128,noisy_full,42,3,86.3956279333485,0.47123429819107376,0.4872996903466843,0.0,128,100
cifar100,vit_base_patch16_224.augreg_in21k,128,noisy_full,80,4,86.3956279333485,0.432235186174151,0.4451873230770506,0.0,128,100
