method,dataset,n_tasks_requested,n_tasks_actual,seed,final_avg_acc,bwt,avg_incremental_acc,n_ledger_records
M8,cifar100,20,20,1,0.8908500000000001,-0.05134210526315787,0.9367276399165204,200
M8,cifar100,20,20,2,0.89085,-0.05839473684210527,0.9366884868455418,200
M8,cub200,10,10,0,0.9729654843824193,-0.018905389538559508,0.9877780879027129,100
M8,cub200,10,10,1,0.9729683157479618,-0.016242727310936025,0.9882803439242863,100
M8,cub200,10,10,2,0.972973107583376,-0.01779251684679443,0.9894381203667596,100
M8,imagenet_r,10,10,0,0.7412582840163529,-0.12678109967266293,0.8432002647358157,100
M8,imagenet_r,10,10,1,0.7410225645884602,-0.10930733723386304,0.8413813374419709,100
M8,imagenet_r,10,10,2,0.7398271674806803,-0.12151862898302568,0.8479780204867364,100
M8,imagenet_r,20,20,0,0.7390440160509069,-0.12707689858239885,0.8481407875885804,200
M8,imagenet_r,20,20,1,0.7405561918388602,-0.10994524172879894,0.8484672226303637,200
M8,imagenet_r,20,20,2,0.7385875988779894,-0.12305377148574888,0.8539090914060837,200
