dataset,method,family,view,elapsed,acc_mean,acc_ci_lo,acc_ci_hi,acc_norm,tpr1_mean,tpr1_ci_lo,tpr1_ci_hi,tpr1_norm,auc_mean,auc_ci_lo,auc_ci_hi,auc_norm,leak_norm
cub200,m0_fedavg,F1,full,3,0.3682377131645426,0.31876091478291513,0.4195418589190352,0.4248119891787611,0.027989933573288855,0.024743181475442688,0.03157459496120562,0.3755421436512688,0.6415432261425181,0.6353679213888227,0.648179653354776,0.9013156574814716,0.3755421436512688
cub200,m0_fedavg,F1,full,4,0.3378213427031418,0.30594941628583544,0.37814379126866754,0.3906442218188115,0.02667554307006506,0.02378154145513269,0.030310257510961128,0.3481040752912813,0.6338049672373726,0.6275483707975894,0.6407121763462262,0.8520401527262637,0.3481040752912813
cub200,m0_fedavg,F1,full,5,0.28999254716083483,0.24985869774218142,0.32790901272875306,0.3353227364265488,0.025939094216681786,0.023044433753950124,0.02922208015301977,0.3327306121285425,0.6274686796283544,0.620779011074515,0.634730116412009,0.8116920881246869,0.3327306121285425
cub200,m0_fedavg,F1,full,6,0.2853955524311246,0.25014945751590284,0.3212460281625625,0.3308659372187941,0.025351398277392485,0.02261122583340173,0.028597688294547598,0.32046238490264833,0.6220423167579014,0.6151304349660127,0.62936294516101,0.7771382210721527,0.32046238490264833
cub200,m1_glfc,F1,full,0,0.6243775378620717,0.5270045270663065,0.7189876482296876,1.0,0.0377057713579283,0.030676385593658987,0.044939580073064776,1.0,0.6160647140863971,0.6059110251746106,0.6275063838308376,1.0,1.0
cub200,m1_glfc,F1,full,1,0.7369900275354413,0.6848846476915489,0.7955073664872481,1.2049225118801654,0.04315505237816383,0.03547877541957283,0.05203341674103969,1.1966839670275473,0.652492418754877,0.6428965079501284,0.663670928525356,1.3138568423247359,1.1966839670275473
cub200,m1_glfc,F1,full,2,0.831522598325817,0.7898445614303662,0.8723339279257564,1.369878755034788,0.05206910013663869,0.04169573759491795,0.06469898447625107,1.518423710105446,0.6848429481048418,0.6754110519374843,0.6948823476604639,1.5925852190291625,1.518423710105446
cub200,m1_glfc,F1,full,3,0.8724838148610242,0.8407625928955337,0.90179665040106,1.442316613105318,0.06706682282516754,0.05481040327767927,0.08405637771628312,2.0597449566708157,0.7135042543402605,0.7038940759184855,0.7234186464810288,1.8395276809223065,2.0597449566708157
cub200,m1_glfc,F1,full,4,0.8906412349175454,0.8652691100981493,0.9136870040833931,1.4752745569724028,0.08282907150758019,0.06660442875448802,0.10304760684166372,2.6286606702519904,0.7378848849287313,0.7271858644740087,0.7484669953694454,2.0495883421696353,2.6286606702519904
cub200,m1_glfc,F1,full,5,0.9008934236776291,0.8789339290103766,0.9198778665042696,1.4942660639473928,0.1016982236970525,0.08145979169797728,0.12470989329406076,3.3097156008548416,0.759665143913576,0.7473756178620197,0.7711248604315626,2.237244505856316,3.3097156008548416
cub200,m1_glfc,F1,full,6,0.8969786890204867,0.8771952860981707,0.9151864619513179,1.489116111433845,0.12003058103975535,0.09944922698246664,0.14459818193223392,3.9713956929146805,0.7786208086418364,0.7650706552125127,0.790817333971033,2.400564295832708,3.9713956929146805
cub200,m2_target,F1,full,0,0.5463325954546612,0.44427765760206495,0.6401619151749867,1.0,0.07564161021365294,0.06899506971009269,0.08367986029154643,1.0,0.6964476464360841,0.6866903592187806,0.7061178214973794,1.0,1.0
cub200,m2_target,F1,full,1,0.9297742008155021,0.9137720528393721,0.9451154864963299,1.7561953968279909,0.1854155810317874,0.16841985333740772,0.2036056579109632,2.6723229436456193,0.8210558724084617,0.8103587084997471,0.8325063501398147,1.6343075533507083,2.6723229436456193
cub200,m2_target,F1,full,2,0.927467711238515,0.9139553460587659,0.9405378518363752,1.759770660179233,0.23238014590932776,0.2135659483566923,0.25217281035063344,3.387792365018407,0.850110110207409,0.8392105725743543,0.8612018696089395,1.7822056744330619,3.387792365018407
cub200,m2_target,F1,full,3,0.9130870511753425,0.8972219485995812,0.9280595703180873,1.7367072027590296,0.2660076862949453,0.2410660202286878,0.2951820933616015,3.9000823633314483,0.8666602512822703,0.8561260217218708,0.8776524252014111,1.8664527569260863,3.9000823633314483
cub200,m2_target,F1,full,4,0.9050816677697548,0.8915520498105748,0.9170729232589052,1.7243239705151074,0.2872264200104221,0.2611970062866404,0.3159878601616081,4.223333631032121,0.878106330436111,0.867863332114265,0.8887252972057087,1.924718047254035,4.223333631032121
cub200,m2_target,F1,full,5,0.8980266494817135,0.8851504487738235,0.9095619605295644,1.712899771383332,0.31056214174048985,0.28367685864079784,0.3421348706397387,4.578835600805771,0.8878221189837835,0.8782168570352851,0.8976709538235165,1.9741754407323204,4.578835600805771
cub200,m2_target,F1,full,6,0.887896061690328,0.8739181254852062,0.8994307411473327,1.6950304333963913,0.328784523189161,0.30242446968467723,0.3558744070815664,4.856439720957002,0.896285618920346,0.8870241616707766,0.905402862641385,2.0172581657743645,4.856439720957002
cub200,m3_fot,F1,full,0,0.6562466158420406,0.5598271355657043,0.7397398175517339,1.0,0.06224797975675455,0.05238707617749178,0.0737024149717336,1.0,0.680472826328614,0.6649295228680601,0.6979075200618753,1.0,1.0
cub200,m3_fot,F1,full,1,0.7323154174453956,0.6775211038756428,0.7808875272047011,1.1365727160917676,0.06693331156640274,0.05444380707568589,0.08203553338961163,1.0896748894686685,0.691715003818654,0.6758729666073674,0.7084693537536708,1.0622929097900293,1.0896748894686685
cub200,m3_fot,F1,full,2,0.7440927484171025,0.7047069400853796,0.7786237227638731,1.1618724184492881,0.07134111501101952,0.05910326876367817,0.08439025429307166,1.1740380259026075,0.7001726445536359,0.6825954222838224,0.7190583426869669,1.109156700350841,1.1740380259026075
cub200,m3_fot,F1,full,3,0.7328741527222122,0.6935249355473516,0.7705878270165099,1.1478489752416425,0.0758305444453514,0.06321651981094512,0.09046270603839461,1.2599634426408788,0.7093013917155232,0.691761103286177,0.7300032249314232,1.1597390918808832,1.2599634426408788
cub200,m3_fot,F1,full,4,0.7164291642813277,0.6924080355266445,0.7422110051884167,1.1242336601598457,0.0812341849644927,0.06752245494462228,0.09681073438802652,1.3633863987876707,0.7183060644646757,0.7010864927249966,0.7397458461046044,1.2096339870423094,1.3633863987876707
cub200,m3_fot,F1,full,5,0.705818428194351,0.6792496062876149,0.7336845761458695,1.109159794128968,0.0852828340543629,0.071310156289284,0.10309972357204826,1.4408755018825479,0.725879470663025,0.7081908126699513,0.7476987844483166,1.2515982336960374,1.4408755018825479
