dataset,method,family,attack,fpr,tpr,seed
cifar100,m1_glfc,F1,A1_LiRA,0.009329304026284686,0.03093239063190455,0
cifar100,m1_glfc,F1,A1_LiRA,0.009771241535346501,0.031865272254136594,0
cifar100,m1_glfc,F1,A1_LiRA,0.010234114021054527,0.032749054843619584,0
cifar100,m1_glfc,F1,A1_LiRA,0.010718913192051276,0.033731035498600674,0
cifar100,m1_glfc,F1,A1_LiRA,0.011226677735108135,0.03495851131732705,0
cifar100,m1_glfc,F1,A1_LiRA,0.01175849554052157,0.0359895910050572,0
cifar100,m1_glfc,F1,A1_LiRA,0.012315506032928261,0.03667697746354397,0
cifar100,m1_glfc,F1,A1_LiRA,0.01289890261253308,0.03829724554426278,0
cifar100,m1_glfc,F1,A1_LiRA,0.013509935211980266,0.039082830068247656,0
cifar100,m1_glfc,F1,A1_LiRA,0.01414991297434576,0.04021210782147592,0
cifar100,m1_glfc,F1,A1_LiRA,0.014820207057988586,0.04143958364020229,0
cifar100,m1_glfc,F1,A1_LiRA,0.01552225357427048,0.042225168164187164,0
cifar100,m1_glfc,F1,A1_LiRA,0.016257556664437952,0.04296165365542299,0
cifar100,m1_glfc,F1,A1_LiRA,0.017027691722258997,0.044680119801639905,0
cifar100,m1_glfc,F1,A1_LiRA,0.017834308769319095,0.04576029852211912,0
