method,ledger_hash,unit,sigma,delta,T,eps,regime,task_disjoint,violations
M4,7f1595f2e0803ed1,U1,2.0,1e-05,10,13.230019140012296,"sequential-composition (U1, 2 touches/task)",True,
M4,7f1595f2e0803ed1,U1,2.0,1e-05,50,36.49264290680486,"sequential-composition (U1, 2 touches/task)",True,
M4,7f1595f2e0803ed1,U1,2.0,1e-05,100,58.93366280901313,"sequential-composition (U1, 2 touches/task)",True,
M4,7f1595f2e0803ed1,U1,2.0,1e-05,500,201.0695932944363,"sequential-composition (U1, 2 touches/task)",True,
M4,7f1595f2e0803ed1,U1,2.0,1e-05,1000,357.7783743320657,"sequential-composition (U1, 2 touches/task)",True,
M4,7f1595f2e0803ed1,U2,2.0,1e-05,1,2.5292139405522476,"parallel-composition (task-disjoint, U2)",True,
M4,7f1595f2e0803ed1,U2,2.0,1e-05,5,2.5292139405522476,"parallel-composition (task-disjoint, U2)",True,
M4,7f1595f2e0803ed1,U2,2.0,1e-05,10,2.5292139405522476,"parallel-composition (task-disjoint, U2)",True,
M4,7f1595f2e0803ed1,U2,2.0,1e-05,50,2.5292139405522476,"parallel-composition (task-disjoint, U2)",True,
M4,7f1595f2e0803ed1,U2,2.0,1e-05,100,2.5292139405522476,"parallel-composition (task-disjoint, U2)",True,
M4,7f1595f2e0803ed1,U2,2.0,1e-05,500,2.5292139405522476,"parallel-composition (task-disjoint, U2)",True,
M4,7f1595f2e0803ed1,U2,2.0,1e-05,1000,2.5292139405522476,"parallel-composition (task-disjoint, U2)",True,
M4,7f1595f2e0803ed1,U3,2.0,1e-05,1,3.6430702143557943,"sequential-composition (U3, 2 touches/task)",True,
M4,7f1595f2e0803ed1,U3,2.0,1e-05,5,8.837137179629,"sequential-composition (U3, 2 touches/task)",True,
M4,7f1595f2e0803ed1,U3,2.0,1e-05,10,13.230019140012296,"sequential-composition (U3, 2 touches/task)",True,
M4,7f1595f2e0803ed1,U3,2.0,1e-05,50,36.49264290680486,"sequential-composition (U3, 2 touches/task)",True,
M4,7f1595f2e0803ed1,U3,2.0,1e-05,100,58.93366280901313,"sequential-composition (U3, 2 touches/task)",True,
M4,7f1595f2e0803ed1,U3,2.0,1e-05,500,201.0695932944363,"sequential-composition (U3, 2 touches/task)",True,
M4,7f1595f2e0803ed1,U3,2.0,1e-05,1000,357.7783743320657,"sequential-composition (U3, 2 touches/task)",True,
M4,7f1595f2e0803ed1,U4,2.0,1e-05,1,2.5292139405522476,"sequential-composition (U4, unbounded client-level)",True,
M4,7f1595f2e0803ed1,U4,2.0,1e-05,5,5.989928952612497,"sequential-composition (U4, unbounded client-level)",True,
M4,7f1595f2e0803ed1,U4,2.0,1e-05,10,8.837137179629,"sequential-composition (U4, unbounded client-level)",True,
M4,7f1595f2e0803ed1,U4,2.0,1e-05,50,23.215647590214424,"sequential-composition (U4, unbounded client-level)",True,
M4,7f1595f2e0803ed1,U4,2.0,1e-05,100,36.49264290680486,"sequential-composition (U4, unbounded client-level)",True,
M4,7f1595f2e0803ed1,U4,2.0,1e-05,500,116.17300836742737,"sequential-composition (U4, unbounded client-level)",True,
M4,7f1595f2e0803ed1,U4,2.0,1e-05,1000,201.0695932944363,"sequential-composition (U4, unbounded client-level)",True,
M4,7f1595f2e0803ed1,U5,2.0,1e-05,1,3.6430702143557943,"sequential-composition (U5, 2 touches/task)",True,
M4,7f1595f2e0803ed1,U5,2.0,1e-05,5,8.837137179629,"sequential-composition (U5, 2 touches/task)",True,
M4,7f1595f2e0803ed1,U5,2.0,1e-05,10,13.230019140012296,"sequential-composition (U5, 2 touches/task)",True,
M4,7f1595f2e0803ed1,U5,2.0,1e-05,50,36.49264290680486,"sequential-composition (U5, 2 touches/task)",True,
M4,7f1595f2e0803ed1,U5,2.0,1e-05,100,58.93366280901313,"sequential-composition (U5, 2 touches/task)",True,
M4,7f1595f2e0803ed1,U5,2.0,1e-05,500,201.0695932944363,"sequential-composition (U5, 2 touches/task)",True,
M4,7f1595f2e0803ed1,U5,2.0,1e-05,1000,357.7783743320657,"sequential-composition (U5, 2 touches/task)",True,
M5,a56a5889435003a8,U1,2.0,1e-05,1,79.0567184739702,"sequential-composition (U1, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U1,2.0,1e-05,5,280.53591202050796,"sequential-composition (U1, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U1,2.0,1e-05,10,506.88462719901037,"sequential-composition (U1, 300 touches/task)",False,V2/V3;V5b
