dataset,method,family,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows,view,identical_by_construction
cifar100,m3_fot,F1,4,0.5995048095273426,0.5905306275632385,0.6096053293808908,0.036513984596676125,0.030370562530817612,0.04225405716041798,0.007831374138629915,0.0054401303030354,0.010433706205537545,3,"n/a (per-seed, see a1_lira_pertask_*)",global,True
cifar100,m3_fot,F1,5,0.6012589161357146,0.5922612980821259,0.6115209777948962,0.036919335224969596,0.031839035758316724,0.04210745033408213,0.0075233076611268745,0.005250736997305384,0.010124425422437484,3,"n/a (per-seed, see a1_lira_pertask_*)",full,
cifar100,m3_fot,F1,5,0.6012589161357146,0.5922612980821259,0.6115209777948962,0.036919335224969596,0.031839035758316724,0.04210745033408213,0.0075233076611268745,0.005250736997305384,0.010124425422437484,3,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,True
cifar100,m3_fot,F1,5,0.6012589161357146,0.5922612980821259,0.6115209777948962,0.036919335224969596,0.031839035758316724,0.04210745033408213,0.0075233076611268745,0.005250736997305384,0.010124425422437484,3,"n/a (per-seed, see a1_lira_pertask_*)",global,True
cifar100,m3_fot,F1,6,0.6032249020457731,0.5944584960723001,0.6131041880755705,0.03769760843129307,0.03306427895553826,0.042674776237639815,0.007571949736522091,0.005533605097840638,0.010181932182814232,3,"n/a (per-seed, see a1_lira_pertask_*)",full,
cifar100,m3_fot,F1,6,0.6032249020457731,0.5944584960723001,0.6131041880755705,0.03769760843129307,0.03306427895553826,0.042674776237639815,0.007571949736522091,0.005533605097840638,0.010181932182814232,3,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,True
cifar100,m3_fot,F1,6,0.6032249020457731,0.5944584960723001,0.6131041880755705,0.03769760843129307,0.03306427895553826,0.042674776237639815,0.007571949736522091,0.005533605097840638,0.010181932182814232,3,"n/a (per-seed, see a1_lira_pertask_*)",global,True
cifar100,m4_proto,F2,0,0.681064434196777,0.6761605472213414,0.6860730302906889,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,
cifar100,m4_proto,F2,1,0.681064434196777,0.6761605472213414,0.6860730302906889,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,
cifar100,m4_proto,F2,2,0.681064434196777,0.6761605472213414,0.6860730302906889,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,
cifar100,m4_proto,F2,3,0.681064434196777,0.6761605472213414,0.6860730302906889,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,
cifar100,m4_proto,F2,4,0.681064434196777,0.6761605472213414,0.6860730302906889,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,
cifar100,m4_proto,F2,5,0.681064434196777,0.6761605472213414,0.6860730302906889,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,
cifar100,m4_proto,F2,6,0.681064434196777,0.6761605472213414,0.6860730302906889,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,
cifar100,m4_proto,F2,0,0.8826480942983708,0.8731303797435811,0.8923753323934291,0.3434382945433209,0.31391409951634075,0.37400427277649656,0.18338874763674295,0.1546401373493607,0.2193372770147515,3,"n/a (per-seed, see a1_lira_pertask_*)",full,
cifar100,m4_proto,F2,1,0.8826480942983708,0.8731303797435811,0.8923753323934291,0.3434382945433209,0.31391409951634075,0.37400427277649656,0.18338874763674295,0.1546401373493607,0.2193372770147515,3,"n/a (per-seed, see a1_lira_pertask_*)",full,
cifar100,m4_proto,F2,2,0.8826480942983708,0.8731303797435811,0.8923753323934291,0.3434382945433209,0.31391409951634075,0.37400427277649656,0.18338874763674295,0.1546401373493607,0.2193372770147515,3,"n/a (per-seed, see a1_lira_pertask_*)",full,
cifar100,m4_proto,F2,3,0.8826480942983708,0.8731303797435811,0.8923753323934291,0.3434382945433209,0.31391409951634075,0.37400427277649656,0.18338874763674295,0.1546401373493607,0.2193372770147515,3,"n/a (per-seed, see a1_lira_pertask_*)",full,
