dataset,method,family,view,quantity,ablation,halflife,halflife_int,status,ci_lo,ci_hi,horizon_E,base_value,base_ci_lo,floor,halflife_expfit,r2
imagenet_r,m1_glfc,F1,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.056682199743460684,0.04912790915655889,0.01,,
imagenet_r,m1_glfc,F1,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.6289089588440381,0.6194919180552796,0.5,,
imagenet_r,m1_glfc,F1,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.056682199743460684,0.04912790915655889,0.01,,
imagenet_r,m1_glfc,F1,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.6289089588440381,0.6194919180552796,0.5,,
imagenet_r,m2_target,F1,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.06624912787395953,0.06022747512951991,0.01,,
imagenet_r,m2_target,F1,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.66121530705688,0.6515134760090444,0.5,,
imagenet_r,m2_target,F1,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.06624912787395953,0.06022747512951991,0.01,,
imagenet_r,m2_target,F1,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.66121530705688,0.6515134760090444,0.5,,
imagenet_r,m3_fot,F1,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.07861465929297379,0.06672683193368698,0.01,,
imagenet_r,m3_fot,F1,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.6908409057210475,0.6808008767515067,0.5,,
imagenet_r,m3_fot,F1,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.07861465929297379,0.06672683193368698,0.01,,
imagenet_r,m3_fot,F1,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.6908409057210475,0.6808008767515067,0.5,,
imagenet_r,m4_proto,F2,aggregate,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.23953708540088797,0.21552160386798608,0.01,,
imagenet_r,m4_proto,F2,aggregate,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.8422918226678182,0.8275347450716772,0.5,,
imagenet_r,m4_proto,F2,aggregate,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.23953708540088797,0.21552160386798608,0.01,,
imagenet_r,m4_proto,F2,aggregate,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.8422918226678182,0.8275347450716772,0.5,,
imagenet_r,m4_proto,F2,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.7324282862939808,0.7017801955866926,0.01,,
